,county,state,county_fips,state_fips,year,n_inflows,agi_incomers,log_agi_incomers,n_outflows,agi_leavers,log_agi_leavers,net_flows,fips_id
0,Abbeville County,SC,001,45,2020,669.0,3085.0,8.034306936339489,633.0,4101.666666666667,8.319148674157047,36.0,45001
1,Abbeville County,SC,001,45,2021,738.0,3903.0,8.269500767180615,573.0,3797.3333333333335,8.242054344983647,165.0,45001
2,Acadia Parish,LA,001,22,2020,2137.0,4760.875,8.468186753861403,2015.0,4771.75,8.470468392910002,122.0,22001
3,Acadia Parish,LA,001,22,2021,2019.0,3700.0,8.216088098632316,2011.0,4066.0,8.310414994188292,8.0,22001
4,Accomack County,VA,001,51,2020,399.0,2252.75,7.7199069711151465,519.0,1959.0,7.580189417944541,-120.0,51001
5,Accomack County,VA,001,51,2021,425.0,2177.0,7.685703061234547,482.0,1944.2,7.572605860386969,-57.0,51001
6,Ada County,ID,001,16,2020,27486.0,9002.912,9.105303359541102,17647.0,5969.233333333334,8.694373778262946,9839.0,16001
7,Ada County,ID,001,16,2021,26543.0,9793.540322580646,9.189478296566216,19095.0,6447.264705882353,8.771411243236516,7448.0,16001
8,Adair County,IA,001,19,2020,167.0,1121.3333333333333,7.022273732424729,220.0,1151.0,7.048386408721883,-53.0,19001
9,Adair County,IA,001,19,2021,177.0,1644.3333333333333,7.405090312565629,193.0,1106.25,7.008731196322139,-16.0,19001
10,Adair County,KY,001,21,2020,269.0,2053.5,7.627300933396613,348.0,1689.0,7.4318919168078,-79.0,21001
11,Adair County,KY,001,21,2021,312.0,1578.3333333333333,7.364124716952069,262.0,1426.3333333333333,7.262862327748707,50.0,21001
12,Adair County,MO,001,29,2020,239.0,1088.25,6.992326180432407,302.0,1078.4,6.983233740158043,-63.0,29001
13,Adair County,MO,001,29,2021,271.0,1305.0,7.173958319756794,383.0,1074.0,6.97914527506881,-112.0,29001
14,Adair County,OK,001,40,2020,659.0,1875.8,7.536790514074838,697.0,1463.3333333333333,7.288472217401107,-38.0,40001
15,Adair County,OK,001,40,2021,518.0,1794.25,7.492342386310181,509.0,1976.25,7.588956388523682,9.0,40001
16,Adams County,CO,001,08,2020,35020.0,15223.205479452055,9.630576218928615,33768.0,12541.827160493827,9.436824510151194,1252.0,08001
17,Adams County,CO,001,08,2021,33896.0,16135.356164383562,9.688768178266827,32868.0,11621.20430107527,9.360586665403535,1028.0,08001
18,Adams County,ID,003,16,2020,105.0,898.5,6.800726706223614,87.0,928.0,6.833031732786201,18.0,16003
19,Adams County,ID,003,16,2021,160.0,1859.0,7.527793987721444,0.0,,,160.0,16003
20,Adams County,IL,001,17,2020,566.0,2096.375,7.647964941651792,769.0,2305.1111111111113,7.742884158655554,-203.0,17001
21,Adams County,IL,001,17,2021,523.0,2017.0,7.6093665379542115,545.0,2129.5714285714284,7.663676031215117,-22.0,17001
22,Adams County,IN,001,18,2020,561.0,3777.0,8.236685322712457,619.0,3128.5,8.048308935438419,-58.0,18001
23,Adams County,IN,001,18,2021,544.0,3324.25,8.108999363736816,517.0,2748.5,7.918810587300715,27.0,18001
24,Adams County,MS,001,28,2020,436.0,1603.75,7.380099915929846,443.0,1399.8,7.2440846482554395,-7.0,28001
25,Adams County,MS,001,28,2021,254.0,2113.0,7.655864017616056,373.0,1981.25,7.5914832376255905,-119.0,28001
26,Adams County,NE,001,31,2020,571.0,1853.5,7.524831022590787,602.0,2384.0,7.776535028185241,-31.0,31001
27,Adams County,NE,001,31,2021,509.0,2152.6666666666665,7.674462662650111,629.0,2876.1666666666665,7.964213668019524,-120.0,31001
28,Adams County,OH,001,39,2020,550.0,2250.6,7.718952126315896,538.0,2647.5,7.881371077475562,12.0,39001
29,Adams County,OH,001,39,2021,597.0,2320.4,7.749494863591909,466.0,1838.0,7.516433302915632,131.0,39001
30,Adams County,PA,001,42,2020,3182.0,7645.846153846154,8.941917792924727,2587.0,7782.333333333333,8.959611486517328,595.0,42001
