GEO_ID,NAME,year,FIPS_ID,total_population,total_male_population,total_female_population,sex_ratio,under_5_pop,pop_5_9,pop_10_14,pop_15_19,pop_20_24,pop_25_34,pop_35_44,pop_45_54,pop_55_59,pop_60_64,pop_65_74,pop_75_84,pop_85_plus,median_age_total,total_pop_under_18,pop_16_and_plus,pop_18_and_plus,pop_21_and_plus,pop_62_and_plus,pop_65_and_plus,pop_18_and_plus_v2,pop_18_and_plus_male,pop_18_and_plus_female,sex_ratio_18_over,pop_65_and_plus_v2,pop_65_and_plus_male,pop_65_and_plus_female,sex_ratio_65_over,total_population_v2,total_pop_one_race,total_pop_two_more_race,total_pop_one_race_v2,total_whites,total_black_aa,total_american_indian,total_american_indian_cherokee,total_american_indian_chippewa,total_american_indian_navajo,total_american_indian_sioux,total_asian,total_asian_indian,total_asian_chinese,total_asian_filipino,total_asian_japanese,total_asian_korean,total_asian_vietnamese,total_asian_other,total_native_hawaiian_other_islander,total_native_hawaiian,total_guamanian,total_samoan,total_other_pacific_islander,total_other_race,total_pop_two_more_race_v2,total_white_black,total_white_american_indian,total_white_asian,total_black_american_indian,total_pop_comb_race,total_pop_comb_race_white,total_pop_comb_race_black,total_pop_comb_race_american_ind,total_pop_comb_race_asian,total_pop_comb_race_native_haw,total_pop_comb_race_other,total_population_hispanic,total_population_hispanic_any_race,total_population_hispanic_mex,total_population_hispanic_puerto_rico,total_population_hispanic_cuban,total_population_hispanic_other,total_housing_units,total_voting_age_pop,total_voting_age_pop_male,total_voting_age_pop_female
0500000US01003,"Baldwin County, Alabama",2019,01003,223234,109192,114042,95.7,10616,12826,14373,14410,11292,24401,28477,27285,16425,15441,28918,14425,4345,43.0,46903,183875,176331,168482,56850,47688,176331,83488,92843,89.9,47688,21573,26115,82.6,223234,218523,4711,218523,190912,18338,2428,,,,,2160,,,,,,,,0,,,,,4685,4711,1499,1161,808,0,223234,195623,20964,4474,3326,,4685,223234,10534,,,,,119425,171344,80874,90470
0500000US01015,"Calhoun County, Alabama",2019,01015,113605,54285,59320,91.5,6699,5534,7774,7541,6973,14981,14394,13354,7389,8410,12098,6595,1863,39.6,24474,92308,89131,84668,25104,20556,89131,41784,47347,88.3,20556,8743,11813,74.0,113605,111246,2359,111246,82323,25226,201,,,,,225,,,,,,,,85,,,,,3186,2359,1080,457,224,137,113605,84545,26846,1198,507,,3186,113605,4614,,,,,53809,87872,41162,46710
0500000US01043,"Cullman County, Alabama",2019,01043,83768,40579,43189,94.0,5310,4563,5906,4591,4603,10588,10281,11351,5052,6100,9129,4722,1572,41.9,18813,66939,64955,62526,19089,15423,64955,31336,33619,93.2,15423,6934,8489,81.7,83768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83768,81716,1981,1257,496,,398,83768,3752,,,,,38256,63818,30623,33195
0500000US01049,"DeKalb County, Alabama",2019,01049,71513,35688,35825,99.6,4578,4292,5519,5128,4989,8436,9017,8771,5006,3839,7085,3933,920,37.7,17434,56471,54079,51171,13752,11938,54079,26781,27298,98.1,11938,5359,6579,81.5,71513,69468,2045,69468,59305,688,792,,,,,17,,,,,,,,339,,,,,8327,2045,,,,,71513,61350,1773,2085,,,8335,71513,10775,,,,,31606,49295,24299,24996
0500000US01051,"Elmore County, Alabama",2019,01051,81209,40060,41149,97.4,4272,6638,3812,4896,4038,13121,10084,10573,4689,6325,7745,3862,1154,39.0,18051,65674,63158,61358,16491,12761,63158,30129,33029,91.2,12761,5713,7048,81.1,81209,80706,503,80706,61634,17768,204,,,,,884,,,,,,,,0,,,,,216,503,,,,,81209,62137,18049,362,884,,,81209,2563,,,,,34481,61394,29171,32223
0500000US01055,"Etowah County, Alabama",2019,01055,102268,49278,52990,93.0,5649,5923,7428,5108,6416,12286,11934,13583,6472,7475,11358,6401,2235,41.5,21989,82584,80279,76368,24083,19994,80279,37993,42286,89.8,19994,8659,11335,76.4,102268,100333,1935,100333,79988,16040,290,,,,,796,,,,,,,,12,,,,,3207,1935,,,,,102268,81923,16942,1175,964,,3349,102268,4230,,,,,47855,79514,37677,41837
0500000US01069,"Houston County, Alabama",2019,01069,105882,50666,55216,91.8,6637,5847,7545,6623,5776,13868,13214,13080,7868,6403,11130,5841,2050,40.4,24286,84474,81596,78133,22829,19021,81596,38102,43494,87.6,19021,8150,10871,75.0,105882,103979,1903,103979,71582,29736,93,,,,,946,,,,,,,,120,,,,,1502,1903,898,160,463,25,105882,73303,30856,385,1547,,1662,105882,3632,2059,280,234,1059,48138,80076,37152,42924
0500000US01073,"Jefferson County, Alabama",2019,01073,658573,310898,347675,89.4,42248,39554,43536,40545,40872,95477,84192,78226,41062,44565,64985,31025,12286,38.3,149382,524669,509191,482620,132492,108296,509191,234936,274255,85.7,108296,45204,63092,71.6,658573,649239,9334,649239,341788,285001,1846,,,,,11523,4247,3231,554,182,703,345,2261,0,,,,,9081,9334,2883,2556,1591,469,658573,349924,289281,5598,14206,399,9931,658573,26873,17258,1306,535,7774,309673,495515,227864,267651
0500000US01077,"Lauderdale County, Alabama",2019,01077,92729,44783,47946,93.4,3962,3711,6862,6361,7566,10833,10597,11009,5949,6655,11263,6277,1684,40.4,18286,76315,74443,69706,23224,19224,74443,35347,39096,90.4,19224,8315,10909,76.2,92729,90672,2057,90672,79178,10533,224,,,,,117,,,,,,,,0,,,,,620,2057,,,,,92729,81235,10914,,,,1899,92729,2652,,,,,45616,73859,34839,39020
0500000US01081,"Lee County, Alabama",2019,01081,164542,82405,82137,100.3,8512,12662,7503,14040,20499,22519,22401,17816,9312,8533,12800,6251,1694,33.3,34720,133615,129822,115305,26423,20745,129822,62887,66935,94.0,20745,9315,11430,81.5,164542,162108,2434,162108,116738,37396,586,,,,,7191,,,,,,,,0,,,,,197,2434,,,,,164542,118474,38942,678,8432,,,164542,6092,1675,676,0,3741,71228,124629,60177,64452
0500000US01083,"Limestone County, Alabama",2019,01083,98915,48960,49955,98.0,5936,5541,6356,7525,5116,12286,13100,14160,6084,6531,9744,5242,1294,40.3,22407,79522,76508,72016,20460,16280,76508,37793,38715,97.6,16280,7303,8977,81.4,98915,96784,2131,96784,77744,13999,435,,,,,1695,,,,,,,,80,,,,,2831,2131,594,1020,285,64,98915,79811,14721,1583,1980,,2935,98915,6149,,,,,36520,75911,37498,38413
0500000US01089,"Madison County, Alabama",2019,01089,372909,181052,191857,94.4,21860,20324,25665,23238,24686,52680,46056,48204,26324,25982,33694,17327,6869,38.1,80716,300120,292193,276674,73522,57890,292193,140748,151445,92.9,57890,25326,32564,77.8,372909,362949,9960,362949,250321,92197,2331,,,,,10309,1984,3197,903,0,1514,1800,911,132,,,,,7659,9960,3872,2386,1962,89,372909,259565,97238,5193,13004,763,8172,372909,19351,11245,3192,746,4168,166523,283657,135549,148108
0500000US01095,"Marshall County, Alabama",2019,01095,96774,46375,50399,92.0,6841,6324,6463,6706,5684,12099,11407,12008,6023,6482,9793,5288,1656,39.4,24335,75435,72439,69798,20697,16737,72439,35571,36868,96.5,16737,7310,9427,77.5,96774,95958,816,95958,90252,3820,71,,,,,593,,,,,,,,0,,,,,1222,816,,,,,96774,91057,4068,482,763,,1249,96774,14272,,,,,40798,67684,33055,34629
0500000US01097,"Mobile County, Alabama",2019,01097,413210,196310,216900,90.5,27444,25029,27817,26380,26087,58515,49290,49060,27375,28204,40476,20344,7189,38.4,96342,326898,316868,301552,85233,68009,316868,147936,168932,87.6,68009,29703,38306,77.5,413210,404812,8398,404812,240449,150159,2915,,,,,7779,,,,,,,,61,,,,,3449,8398,2882,2370,2279,0,413210,248475,153348,5561,10280,,3996,413210,12443,6702,2924,545,2272,185062,312267,145186,167081
0500000US01101,"Montgomery County, Alabama",2019,01101,226486,106829,119657,89.3,14404,14529,15487,15235,15521,32904,28653,26324,13399,14424,21220,11188,3198,36.9,53001,178502,173485,164204,43873,35606,173485,79423,94062,84.4,35606,14751,20855,70.7,226486,222248,4238,222248,78586,132115,816,,,,,7273,,,,,,,,0,,,,,3458,4238,2654,279,308,124,226486,82120,135334,1442,8150,91,3902,226486,8344,,,,,105314,168682,76867,91815
0500000US01103,"Morgan County, Alabama",2019,01103,119679,58883,60796,96.9,7355,6830,6869,8737,7426,11759,15336,17292,7839,8560,12051,7191,2434,42.3,26982,96669,92697,88771,26854,21676,92697,44732,47965,93.3,21676,9506,12170,78.1,119679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119679,101140,17262,2585,,,1843,119679,10465,,,,,52403,88925,42959,45966
