GEO_ID,NAME,year,FIPS_ID,total_population,total_male_population,total_female_population,sex_ratio,under_5_pop,pop_5_9,pop_10_14,pop_15_19,pop_20_24,pop_25_34,pop_35_44,pop_45_54,pop_55_59,pop_60_64,pop_65_74,pop_75_84,pop_85_plus,median_age_total,total_pop_under_18,pop_16_and_plus,pop_18_and_plus,pop_21_and_plus,pop_62_and_plus,pop_65_and_plus,pop_18_and_plus_v2,pop_18_and_plus_male,pop_18_and_plus_female,sex_ratio_18_over,pop_65_and_plus_v2,pop_65_and_plus_male,pop_65_and_plus_female,sex_ratio_65_over,total_population_v2,total_pop_one_race,total_pop_two_more_race,total_pop_one_race_v2,total_whites,total_black_aa,total_american_indian,total_american_indian_cherokee,total_american_indian_chippewa,total_american_indian_navajo,total_american_indian_sioux,total_asian,total_asian_indian,total_asian_chinese,total_asian_filipino,total_asian_japanese,total_asian_korean,total_asian_vietnamese,total_asian_other,total_native_hawaiian_other_islander,total_native_hawaiian,total_guamanian,total_samoan,total_other_pacific_islander,total_other_race,total_pop_two_more_race_v2,total_white_black,total_white_american_indian,total_white_asian,total_black_american_indian,total_pop_comb_race,total_pop_comb_race_white,total_pop_comb_race_black,total_pop_comb_race_american_ind,total_pop_comb_race_asian,total_pop_comb_race_native_haw,total_pop_comb_race_other,total_population_hispanic,total_population_hispanic_any_race,total_population_hispanic_mex,total_population_hispanic_puerto_rico,total_population_hispanic_cuban,total_population_hispanic_other,total_housing_units,total_voting_age_pop,total_voting_age_pop_male,total_voting_age_pop_female
0500000US01003,"Baldwin County, Alabama",2019,01003,212830,103496,109334,94.7,11689,12058,14262,12831,10878,23942,25834,28412,15081,15312,25739,12744,4048,43.0,46235,172297,166595,159602,51912,42531,166595,79948,86647,92.3,42531,19735,22796,86.6,212830,209241,3589,209241,183471,19718,1645,229,0,70,28,1969,505,619,177,276,148,109,135,9,0,9,0,0,2429,3589,552,1555,835,55,212830,186940,20563,3441,2880,102,2739,212830,9711,4861,1393,393,3064,114164,162883,77958,84925
0500000US01005,"Barbour County, Alabama",2019,01005,25361,13421,11940,112.4,1349,1622,1422,1412,1592,3642,3038,3310,1628,1636,2844,1461,405,40.4,5307,20636,20054,19089,5681,4710,20054,10760,9294,115.8,4710,2027,2683,75.5,25361,25057,304,25057,11869,12066,82,6,0,8,0,134,65,0,0,8,20,17,24,1,1,0,0,0,905,304,25,62,12,77,25361,12075,12265,287,168,29,939,25361,1105,827,84,3,191,12013,19728,10529,9199
0500000US01007,"Bibb County, Alabama",2019,01007,22493,12150,10343,117.5,1315,1219,1132,1400,1259,3276,2910,3519,1415,1464,2098,1044,442,40.9,4631,18492,17862,17224,4465,3584,17862,9547,8315,114.8,3584,1596,1988,80.3,22493,22352,141,22352,17272,5014,30,21,0,0,0,27,27,0,0,0,0,0,0,0,0,0,0,0,9,141,80,47,6,0,22493,17405,5102,77,41,0,9,22493,579,167,55,31,326,9185,17662,9469,8193
0500000US01009,"Blount County, Alabama",2019,01009,57681,28495,29186,97.6,3432,3590,4034,3622,3212,6839,7263,7699,3855,3809,6111,3160,1055,40.7,13389,45907,44292,42390,12507,10326,44292,21668,22624,95.8,10326,4609,5717,80.6,57681,56765,916,56765,55062,928,46,26,0,0,0,212,43,57,48,11,31,0,22,25,0,25,0,0,492,916,179,619,26,0,57681,55969,1122,708,272,55,520,57681,5342,4654,153,54,481,24323,42722,20833,21889
0500000US01011,"Bullock County, Alabama",2019,01011,10248,5571,4677,119.1,542,638,554,814,599,1271,1384,1361,675,770,1020,449,171,40.2,2128,8375,8120,7673,2007,1640,8120,4480,3640,123.1,1640,703,937,75.0,10248,10170,78,10170,2244,7666,0,0,0,0,0,50,0,41,0,0,9,0,0,0,0,0,0,0,210,78,0,0,0,0,10248,2244,7744,0,128,0,210,10248,262,231,29,0,2,4557,8120,4480,3640
0500000US01013,"Butler County, Alabama",2019,01013,19828,9081,10747,84.5,1149,1292,1203,1272,1093,2339,2529,2227,1416,1408,2288,1087,525,40.8,4455,15853,15373,14637,4702,3900,15373,6876,8497,80.9,3900,1596,2304,69.3,19828,19403,425,19403,10280,9001,11,1,0,0,0,69,20,0,19,0,30,0,0,0,0,0,0,0,42,425,201,114,17,2,19828,10690,9204,140,86,0,133,19828,277,264,0,0,13,10089,15308,6843,8465
0500000US01015,"Calhoun County, Alabama",2019,01015,114618,55141,59477,92.7,6608,6619,7149,7747,7387,15129,13694,14594,8016,7937,11727,5951,2060,39.6,24952,92886,89666,85065,24292,19738,89666,42341,47325,89.5,19738,8372,11366,73.7,114618,111878,2740,111878,84439,23830,379,131,0,0,0,1014,150,115,94,29,230,222,174,14,14,0,0,0,2202,2740,1034,759,289,77,114618,86870,25233,1429,1609,156,2427,114618,4352,2760,808,97,687,53631,88204,41767,46437
0500000US01017,"Chambers County, Alabama",2019,01017,33660,16089,17571,91.6,2043,1795,2026,1816,2191,4128,3836,4551,2630,2174,3958,1859,653,42.0,7065,27403,26595,25505,7788,6470,26595,12577,14018,89.7,6470,2771,3699,74.9,33660,33318,342,33318,19423,13316,112,39,14,0,0,376,56,37,26,1,246,0,10,0,0,0,0,0,91,342,224,67,51,0,33660,19765,13540,179,427,0,91,33660,800,302,130,119,249,16988,26171,12301,13870
0500000US01019,"Cherokee County, Alabama",2019,01019,25903,12777,13126,97.3,1187,1454,1489,1598,1301,2495,2871,3688,2019,1990,3511,1787,513,46.5,5245,21390,20658,19885,7002,5811,20658,10163,10495,96.8,5811,2700,3111,86.8,25903,25678,225,25678,24052,1191,280,224,0,0,0,64,0,29,25,0,0,10,0,0,0,0,0,0,91,225,118,75,3,0,25903,24248,1309,384,67,29,91,25903,413,366,0,0,47,16579,20578,10102,10476
0500000US01021,"Chilton County, Alabama",2019,01021,44055,21459,22596,95.0,2759,3225,2657,2894,2474,5782,5874,5582,2948,2808,4152,2288,612,38.7,10635,34827,33420,31717,8375,7052,33420,16196,17224,94.0,7052,3203,3849,83.2,44055,42962,1093,42962,36835,4041,361,32,0,0,0,195,0,0,122,0,9,60,4,0,0,0,0,0,1530,1093,501,291,12,93,44055,37765,4760,816,250,27,1628,44055,3457,3049,89,0,319,19781,32309,15631,16678
0500000US01023,"Choctaw County, Alabama",2019,01023,12925,6145,6780,90.6,679,628,799,844,646,1276,1419,1739,1017,956,1660,960,302,46.3,2603,10685,10322,9808,3588,2922,10322,4780,5542,86.3,2922,1275,1647,77.4,12925,12874,51,12874,7337,5500,8,5,0,0,0,17,5,0,12,0,0,0,0,0,0,0,0,0,12,51,9,16,4,15,12925,7366,5531,39,28,0,12,12925,53,3,26,7,17,7359,10286,4766,5520
0500000US01025,"Clarke County, Alabama",2019,01025,24128,11403,12725,89.6,1377,1320,1573,1584,1504,2611,2849,3220,1826,1585,2583,1524,572,42.5,5287,19548,18841,18010,5618,4679,18841,8757,10084,86.8,4679,2047,2632,77.8,24128,23955,173,23955,12781,11044,26,5,0,0,0,104,33,11,36,0,0,21,3,0,0,0,0,0,0,173,109,45,19,0,24128,12954,11153,71,123,0,0,24128,79,14,37,0,28,12784,18827,8757,10070
0500000US01027,"Clay County, Alabama",2019,01027,13337,6438,6899,93.3,680,677,970,856,695,1503,1544,1746,1115,853,1539,873,286,43.3,2778,10841,10559,9927,3297,2698,10559,5018,5541,90.6,2698,1208,1490,81.1,13337,13243,94,13243,11092,2075,37,0,0,0,0,21,0,14,7,0,0,0,0,0,0,0,0,0,18,94,82,9,0,3,13337,11183,2160,49,21,0,18,13337,419,308,0,18,93,6799,10378,4961,5417
0500000US01029,"Cleburne County, Alabama",2019,01029,14916,7309,7607,96.1,849,1116,834,876,760,1757,1729,2132,991,973,1696,752,451,43.1,3383,11942,11533,11149,3500,2899,11533,5598,5935,94.3,2899,1313,1586,82.8,14916,14625,291,14625,14000,410,14,4,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,198,291,176,69,23,15,14916,14276,601,98,26,0,206,14916,367,308,12,1,46,6844,11396,5512,5884
0500000US01031,"Coffee County, Alabama",2019,01031,51662,25479,26183,97.3,3207,3306,3634,3226,2996,6609,6679,6900,3613,2942,4976,2683,891,39.3,12259,40755,39403,37733,10140,8550,39403,19168,20235,94.7,8550,3756,4794,78.3,51662,49932,1730,49932,39118,8733,640,108,0,0,0,745,20,374,79,12,216,15,29,0,0,0,0,0,696,1730,564,499,314,232,51662,40603,9584,1392,1121,54,727,51662,3763,1451,1068,35,1209,23188,38416,18680,19736
0500000US01033,"Colbert County, Alabama",2019,01033,54771,26284,28487,92.3,3139,3294,3085,3108,3186,6588,6602,7339,3782,4004,6055,3389,1200,42.4,11553,44515,43218,41612,13128,10644,43218,20353,22865,89.0,10644,4546,6098,74.5,54771,53656,1115,53656,43289,8872,319,198,0,0,0,259,97,8,43,29,33,17,32,51,38,13,0,0,866,1115,363,288,135,23,54771,44359,9297,728,491,68,1041,54771,1557,1078,133,8,338,26588,42618,20052,22566
0500000US01035,"Conecuh County, Alabama",2019,01035,12394,6078,6316,96.2,700,796,648,865,552,1340,1316,1537,799,1095,1708,724,314,44.8,2604,10094,9790,9238,3394,2746,9790,4644,5146,90.2,2746,1251,1495,83.7,12394,12289,105,12289,6287,5919,25,25,0,0,0,56,0,0,56,0,0,0,0,0,0,0,0,0,2,105,4,15,86,0,12394,6392,5923,40,142,0,2,12394,84,84,0,0,0,7182,9767,4633,5134
